Date,Open,High,Low,Adj Close,Volume (BTC),Volume (Currency),Weighted Price,Weekday
9/12/2012,11.04,11.14,10.75,11.14,2414.687533,26603.77909,11.0174831,
9/13/2012,11.17,11.42,10.98,11.3,2138.980773,24097.66734,11.2659579,
9/14/2012,11.26,11.7,11.05,11.5,2127.294354,24113.83863,11.33544993,
9/17/2012,11.75,11.88,11.58,11.85,689.9409029,8097.339385,11.73627966,
9/18/2012,11.85,12.28,11.67,11.91,3735.017729,44344.02281,11.87250665,
9/19/2012,11.9,12.5,11.9,12.32,1251.583482,15406.22561,12.30938714,
9/20/2012,12.44,12.66,12.28,12.28,767.9339103,9544.7772,12.4291649,
9/21/2012,12.29,12.35,12.01,12.19,1990.390172,24224.41047,12.17068433,
9/24/2012,11.99,11.99,11.69,11.9,1523.19954,18068.24689,11.86203541,
9/25/2012,11.9,12.18,11.56,11.75,3057.44986,36342.38724,11.8865031,
9/26/2012,11.8,12.2,11.53,12.2,3038.105097,36547.16472,12.02959198,
9/27/2012,12.2,12.38,11.84,12.22,3306.145463,40040.3085,12.11087321,
9/28/2012,12.21,12.28,11.53,12.28,2842.622878,34197.62398,12.03030632,
10/1/2012,12.21,12.27,11.6,12.14,3151.927758,37889.91871,12.02118882,
10/2/2012,12.2,12.7,12.14,12.64,4634.41771,57712.67964,12.45305953,
10/3/2012,12.63,12.99,12.45,12.9,4948.455672,63268.33502,12.7854707,
10/4/2012,12.9,12.9,12.51,12.57,3211.886001,40800.14183,12.70286113,
10/5/2012,12.61,12.7,11.5,12.5,5459.560688,67349.98882,12.33615535,
10/8/2012,11.7,11.99,10.42,11.62,2885.957812,31964.19009,11.07576485,
10/9/2012,11.62,12.26,11.52,11.99,1933.939089,23092.58241,11.9406979,
10/10/2012,11.85,12.25,11.79,12.24,2369.718361,28378.10685,11.97530783,
10/11/2012,12.1,12.13,11.58,12.09,2349.860473,27788.03728,11.82539883,
10/12/2012,11.95,12.1,11.81,11.9,735.7166072,8827.925293,11.9990839,
10/15/2012,11.78,11.84,11.03,11.66,3425.958007,39335.86222,11.48171173,
10/16/2012,11.8,11.94,11.17,11.92,1004.499677,11660.43211,11.60819897,
10/17/2012,11.79,11.97,11.15,11.88,3020.890537,35317.85113,11.69120519,
10/18/2012,11.9,11.9,11.55,11.8,1277.754257,15057.09636,11.78403146,
10/19/2012,11.75,11.84,11.5,11.67,10149.00153,118964.5983,11.72180317,
10/22/2012,11.54,11.57,11.27,11.49,1913.118006,21966.437,11.48200839,
10/23/2012,11.5,11.7,11.25,11.58,2717.110053,31250.19419,11.50126185,
10/24/2012,11.38,11.62,11.01,11.4,3180.176965,36136.82056,11.3631477,
10/25/2012,11.39,11.39,10.4,10.55,3077.540636,33904.38596,11.01671431,
10/26/2012,10.46,10.84,9.68,10,2384.646512,24712.71001,10.36325924,
10/29/2012,10.67,10.8,10.32,10.8,2655.790811,28198.08294,10.61758435,
10/30/2012,10.8,10.81,10.43,10.8,2780.314698,29649.72918,10.66416302,
10/31/2012,10.79,11,10.66,11,3057.679498,33152.61968,10.84241161,
11/1/2012,11,11.05,10.63,10.85,1726.988321,18852.23493,10.91624923,
11/2/2012,10.85,10.96,10.45,10.67,2477.449542,26465.31004,10.68248196,
11/5/2012,10.63,10.8,10.5,10.78,5531.261206,58624.90619,10.59883162,
11/6/2012,10.78,10.8,10.51,10.74,3348.912811,35648.69781,10.64485695,
11/7/2012,10.68,10.84,10.45,10.8,4027.999483,43035.79533,10.68416108,
11/8/2012,10.65,10.83,10.25,10.81,2930.399499,31006.3416,10.58092646,
11/9/2012,10.69,10.84,10.61,10.8,2342.580384,25223.15767,10.76725386,
11/12/2012,10.78,10.92,10.72,10.87,1146.317733,12439.30644,10.85153451,
11/13/2012,10.92,10.99,10.76,10.87,2565.613779,27984.97848,10.90771289,
11/14/2012,10.87,10.98,10.74,10.97,1294.563007,14128.30449,10.91357038,
11/15/2012,10.98,11.05,10.81,11.05,2452.656808,26917.72245,10.97492416,
11/16/2012,11.05,11.6,10.96,11.46,7094.45117,79249.74067,11.17066546,
11/19/2012,11.51,11.65,11.03,11.65,4206.617839,47845.29887,11.37381638,
11/20/2012,11.6,11.69,11.44,11.65,2524.495746,29272.39917,11.59534502,
11/21/2012,11.64,11.67,11.34,11.67,3449.380031,39721.62394,11.51558355,
11/22/2012,11.67,12.12,11.55,11.88,10030.59752,118497.3329,11.81358665,
11/23/2012,11.86,12.16,11.66,12.16,2085.939497,25154.96618,12.05929808,
11/26/2012,12.32,12.4,12.11,12.2,4569.274849,55822.93693,12.21702322,
11/27/2012,12.2,12.23,11.75,12.07,3692.252109,44268.46696,11.98955695,
